ParkID,ACTIVITY
Alta_Lake,CAMPING
Alta_Lake,BEACH
Alta_Lake,BIRD
Alta_Lake,BALL
Alta_Lake,BOATING
Alta_Lake,BOATING_NM
Alta_Lake,FISHING
Alta_Lake,INTERP
Alta_Lake,SCUBA
Alta_Lake,SWIM
Alta_Lake,WSKIING
Alta_Lake,PLAYGROUND
Alta_Lake,HIKING
Alta_Lake,BIKING
Alta_Lake,HORSE
Alta_Lake,CCSKINING
Alta_Lake,SNOWMOBILE
Anderson_Lake,BIRD
Anderson_Lake,BOATING_NM
Anderson_Lake,HIKING
Anderson_Lake,BIKING
Anderson_Lake,HORSE
Anderson_Lake,VTOUR
Battle_Ground_Lake,CAMPING
Battle_Ground_Lake,BIRD
Battle_Ground_Lake,BALL
Battle_Ground_Lake,BOATING_NM
Battle_Ground_Lake,FISHING
Battle_Ground_Lake,SWIMMING
Battle_Ground_Lake,PLAYGROUND
Battle_Ground_Lake,BIKING
Battle_Ground_Lake,HORSE
Bay_View,CAMPING
Bay_View,BEACH
Bay_View,BIRD
Bay_View,BOATING
Bay_View,FISHING
Bay_View,SWIMMING
Bay_View,WSKIING
Beacon_Rock,CAMPING
Beacon_Rock,BIRD
Beacon_Rock,BOATING
Beacon_Rock,FISHING
Beacon_Rock,WSKIING
Beacon_Rock,PLAYGROUND
Beacon_Rock,HIKING
Beacon_Rock,BIKING
Beacon_Rock,HORSE
Beacon_Rock,VTOUR
Belfair,CAMPING
Belfair,BEACH
Belfair,BIRD
Belfair,BALL
Belfair,BOATING
Belfair,FISHING
Belfair,SWIMMING
Belfair,PLAYGROUND
Belfair,VTOUR
Birch_Bay,CAMPING
Birch_Bay,BEACH
Birch_Bay,BIRD
Birch_Bay,BOATING
Birch_Bay,FISHING
Birch_Bay,SCUBA
Birch_Bay,SWIMMING
Birch_Bay,WSKIING
Birch_Bay,HIKING
Blake_Island,CAMPING
Blake_Island,BEACH
Blake_Island,BIRD
Blake_Island,BOATING
Blake_Island,FISHING
Blake_Island,SCUBA
Blake_Island,SWIMMING
Blake_Island,PLAYGROUND
Blake_Island,HIKING
Blake_Island,BIKING
Blind_Island,CAMPING
Blind_Island,BEACH
Blind_Island,BIRD
Blind_Island,BOATING
Blind_Island,FISHING
Blind_Island,SCUBA
Blind_Island,FISHING
Blind_Island,SCUBA
Blind_Island,SWIMMING
Blind_Island,WSKIING
Bogachiel,CAMPING
Bogachiel,BEACH
Bogachiel,BIRD
Bogechiel,FISHING
Bogachiel,SWIMMING
Bogachiel,HIKING
Bogachiel,BIKING
Bottle_Beach,BIRD
Bottle_Beach,HIKING
Bottle_Beach,VTOUR
Bridgeport,CAMPING
Bridgeport,BIRD
Bridgeport,BOATING
Bridgeport,FISHING
Bridgeport,SCUBA
Bridgeport,SWIMMING
Bridgeport,WSKIING
