Park_ID,Camp_Type
Alta_Lake,TENT
Alta_Lake,RV
Battle_Ground_Lake,TENT
Battle_Ground_Lake,RV
Battle_Ground_Lake,CABIN
Bay_View,TENT
Bay_View,RV
Bay_View,CABIN
Beacon_Rock,TENT
Beacon_Rock,RV
Belfair,TENT
Belfair,RV
Birch_Bay,TENT
Birch_Bay,RV
Blake_Island,TENT
Bogachiel,TENT
Bogachiel,RV
Bridgeport,TENT
Bridgeport,RV
Brooks_Memorial,TENT
Brooks_Memorial,RV
Cama_Beach,CABIN
Cama_Beach,HOUSE
Camano_Island,TENT
Camano_Island,CABIN
Cape_Disappointment,TENT
Cape_Disappointment,RV
Cape_Disappointment,CABIN
Cape_Disappointment,YURT
Cape_Disappointment,HOUSE
Columbia_Hills,TENT
Columbia_Hills,RV
Columbia_Hills,YURT
Conconully,TENT
Conconully,RV
Conconully,CABIN
Curlew_Lake,TENT
Curlew_Lake,RV
Daroga,RV
Dash_Point,TENT
Dash_Point,RV
Deception_Pass,TENT
Deception_Pass,RV
Deception_Pass,CABIN
Dosewallips,TENT
Dosewallips,RV
Dosewallips,CABIN
Dosewallips,HOUSE
Fields_Spring,TENT
Fields_Spring,CABIN
Fields_Spring,YURT
Fort_Casey,TENT
Fort_Casey,RV
Fort_Ebey,TENT
Fort_Ebey,RV
Fort_Flagler,TENT
Fort_Flagler,RV
Fort_Flagler,HOUSE
Fort_Townsend,TENT
Fort_Worden,RV
Fort_Worden,HOUSE
Grayland_Beach,TENT
Grayland_Beach,RV
Grayland_Beach,YURT
Ike_Kinswa,TENT
Ike_Kinswa,RV
Ike_Kinswa,CABIN
Jarrell_Cove,TENT
Joemma_Beach,TENT
Kanaskat_Palmer,TENT
Kanaskat_Palmer,RV
Kanaskat_Palmer,YURT
Kinney_Point,TENT
Kinney_Point,RV
Kitsap_Memorial,TENT
Kitsap_Memorial,RV
Kitsap_Memorial,CABIN
Kitsap_Memorial,HOUSE
Lake_Chelan,TENT
Lake_Chelan,RV
Lake_Easton,TENT
Lake_Easton,RV
Lake_Sylvia,TENT
Lake_Sylvia,RV
Lake_Wenatchee,TENT
Lake_Wenatchee,RV
Larrabee,TENT
Larrabee,RV
Lewis_Clark,TENT
Lewis_Clark,RV
Lewis_Clark_Trail,TENT
Lewis_Clark_Trail,YURT
Lincoln_Rock,TENT
Lincoln_Rock,RV
Lincoln_Rock,CABIN
Manchester,TENT
Manchester,RV
Maryhill,TENT
Maryhill,RV
Millersylvania,TENT
Millersylvania,RV
Millersylvania,HOUSE
Moran,TENT
Moran,HOUSE
Mount_Spokane,TENT
Mount_Spokane,YURT
Nine_Mile,TENT
Nine_Mile,RV
Nine_Mile,YURT
Ocean_City,TENT
Ocean_City,RV
Pacific_Beach,TENT
Pacific_Beach,RV
Paradise_Point,TENT
Paradise_Point,RV
Paradise_Point,YURT
Pearrygin_Lake,TENT
Pearrygin_Lake,RV
Pearrygin_Lake,CABIN
Pearrygin_Lake,HOUSE
Penrose_Point,TENT
Potholes,RV
Potholes,CABIN
Potlatch,TENT
Potlatch,RV
Rainbow_Falls,TENT
Rainbow_Falls,RV
Rasar,TENT
Rasar,RV
Rasar,CABIN
Riverside,TENT
Riverside,RV
Riverside,HOUSE
Saltwater,TENT
Scenic_Beach,TENT
Schafer,TENT
Schafer,RV
Seaquest,TENT
Seaquest,RV
Seaquest,YURT
Sequim_Bay,TENT
Sequim_Bay,RV
South_Whidbey,TENT
South_Whidbey,RV
Spencer_Spit,TENT
Steamboat_Rock,TENT
Steamboat_Rock,RV
Steamboat_Rock,CABIN
Sun_Lakes,TENT
Sun_Lakes,RV
Twanoh,TENT
Twanoh,RV
Twenty_Five_Mile_Creek,TEMP
Twenty_Five_Mile_Creek,RV
Twenty_Five_Mile_Creek,HOUSE
Twin_Harbors,TENT
Twin_Harbors,RV
Twin_Harbors,YURT
Wallace_Falls,CABIN
Wanapum,RV
Wenatchee_Confluence,TENT
Wenatchee_Confluence,RV
Yakima_Sportsman,TENT
Yakima_Sportsman,RV
