ParkID,Activities
Anderson_Lake,"CAMPING,BEACH,BIRD,BALL,BOATING,BOATING_NM,FISHING,INTERP,SCUBA,SWIM,WSKIING,PLAYGROUND,HIKING,BIKING,HORSE,CCSKINING,SNOWMOBILE"
Battle_Ground_Lake,"BIRD,BOATING_NM,HIKING,BIKING,HORSE,VTOUR"
Bay_View,"CAMPING,BIRD,BALL,BOATING_NM,FISHING,SWIMMING,PLAYGROUND,BIKING,HORSE"
Beacon_Rock,"CAMPING,BEACH,BIRD,BOATING,FISHING,SWIMMING,WSKIING"
Belfair,"CAMPING,BIRD,BOATING,FISHING,WSKIING,PLAYGROUND,HIKING,BIKING,HORSE,VTOUR"
Birch_Bay,"CAMPING,BEACH,BIRD,BALL,BOATING,FISHING,SWIMMING,PLAYGROUND,VTOUR"
Blake_Island,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,HIKING"
Blind_Island,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,PLAYGROUND,HIKING,BIKING"
Bogachiel,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,FISHING,SCUBA,SWIMMING,WSKIING"
Bogechiel,"CAMPING,BEACH,BIRD"
Bogachiel,FISHING
Bottle_Beach,"SWIMMING,HIKING,BIKING"
Bridgeport,"BIRD,HIKING,VTOUR"
Bridle_Trails,"CAMPING,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,PLAYGROUND,HIKING"
Brooks_Memorial,"HIKING,HORSE"
Cama_Beach,"CAMPING,BIRD,BALL,FISHING,HIKING,BIKING,CCSKIING"
Camano_Island,"CAMOING,BEACH,BIRD,BOATING,PLAYGROUND,HIKING"
Camp_Wooten_ELC,"CAMPING,BEACH,BIRD,BOATING,SCUBA,SWIMMING,HIKING,BIKING"
Camp_Disappointment,"CAMPING,BOATING_NM,SWIMMING,HIKING"
Centenial_Trail,"CAMPING,BEACH,BIRD,BOATING,FISHING,INTERP,HIKING,BIKING,VTOUR"
Clark_Island,"BIRD,FISHING,HIKING,BIKING,HORSE,BIRD,FISHING,HIKING,BIKING,HORSE,CCSKIING"
Columbia_Hills,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,HIKING"
