ParkID,Camping
Battle_Ground_Lake,"TENT,RV"
Bay_View,"TENT,RV,CABIN"
Beacon_Rock,"TENT,RV,CABIN"
Belfair,"TENT,RV"
Birch_Bay,"TENT,RV"
Blake_Island,"TENT,RV"
Bogachiel,TENT
Bridgeport,"TENT,RV"
Brooks_Memorial,"TENT,RV"
Cama_Beach,"TENT,RV"
Camano_Island,"CABIN,HOUSE"
Cape_Disappointment,"TENT,CABIN"
Columbia_Hills,"TENT,RV,CABIN,YURT,HOUSE"
Conconully,"TENT,RV,YURT"
Curlew_Lake,"TENT,RV,CABIN"
Daroga,"TENT,RV"
Dash_Point,RV
Deception_Pass,"TENT,RV"
Dosewallips,"TENT,RV,CABIN"
Fields_Spring,"TENT,RV,CABIN,HOUSE"
Fort_Casey,"TENT,CABIN,YURT"
Fort_Ebey,"TENT,RV"
Fort_Flagler,"TENT,RV"
Fort_Townsend,"TENT,RV,HOUSE"
Fort_Worden,TENT
Grayland_Beach,"RV,HOUSE"
Ike_Kinswa,"TENT,RV,YURT"
Jarrell_Cove,"TENT,RV,CABIN"
Joemma_Beach,TENT
Kanaskat_Palmer,TENT
Kinney_Point,"TENT,RV,YURT"
Kitsap_Memorial,"TENT,RV"
Lake_Chelan,"TENT,RV,CABIN,HOUSE"
Lake_Easton,"TENT,RV"
Lake_Sylvia,"TENT,RV"
Lake_Wenatchee,"TENT,RV"
Larrabee,"TENT,RV"
Lewis_Clark,"TENT,RV"
Lewis_Clark_Trail,"TENT,RV"
Lincoln_Rock,"TENT,YURT"
Manchester,"TENT,RV,CABIN"
Maryhill,"TENT,RV"
Millersylvania,"TENT,RV"
Moran,"TENT,RV,HOUSE"
Mount_Spokane,"TENT,HOUSE"
Nine_Mile,"TENT,YURT"
Ocean_City,"TENT,RV,YURT"
Pacific_Beach,"TENT,RV"
Paradise_Point,"TENT,RV"
Pearrygin_Lake,"TENT,RV,YURT"
Penrose_Point,"TENT,RV,CABIN,HOUSE"
Potholes,TENT
Potlatch,"RV,CABIN"
Rainbow_Falls,"TENT,RV"
Rasar,"TENT,RV"
Riverside,"TENT,RV,CABIN"
Saltwater,"TENT,RV,HOUSE"
Scenic_Beach,TENT
Schafer,TENT
Seaquest,"TENT,RV"
Sequim_Bay,"TENT,RV,YURT"
South_Whidbey,"TENT,RV"
Spencer_Spit,"TENT,RV"
Steamboat_Rock,TENT
Sun_Lakes,"TENT,RV,CABIN"
Twanoh,"TENT,RV"
Twenty_Five_Mile_Creek,"TENT,RV"
Twin_Harbors,"TEMP,RV,HOUSE"
Wallace_Falls,"TENT,RV,YURT"
Wanapum,CABIN
Wenatchee_Confluence,RV
Yakima_Sportsman,"TENT,RV"
