ParkID,Name,Icon,Region,Thumbnail,Text1,Text2,ParkUrl,ParkUrlText,MapUrl,MapUrlText,TourUrl,TourUrlText,Location
Alta_Lake,Alta Lake,campground,North Central Region,https://sites.google.com/site/virtualrangerproject/home/files/AltaLake.jpg,"A 181-acre camping park where the mountainous pine forests meet the desert. Alta Lake is about two miles long and a half mile wide. The park offers good trout fishing during summer months. Lake Chelan, with its many activities, is 30 minutes away.","The Alta Lake area was given to State Parks by the city of Pateros and was established ""Alta Lake State Park"" in 1951. The lake was named ""Alta"" in 1900 by Mr. Heinz, a jeweler from Wilbur, who was mining in the area. Finding the lake without a name, he called it after his daughter, Alta Heinz.",http://parks.state.wa.us//239/Alta-Lake,Park Website,http://parks.state.wa.us//DocumentCenter/Home/View/1837,Park Map,,,"<Point><coordinates>-119.938737,48.027116,0.0</coordinates></Point>"
Anderson_Lake,Anderson Lake,sunny,North Puget Sound Region,https://sites.google.com/site/virtualrangerproject/home/files/AndersonLake.jpg,"Anderson Lake State Park is a remote day use park of cedar, fir and alder forest mixed with freshwater marshes. Surrounded by 410 wooded and wetland acres, the park slopes down to the 70-acre Anderson Lake and abounds with birds and wildlife.","Prior to becoming a state park, Anderson Lake was owned by William F. Anderson, who used the land around it to graze his cattle. Curiously, the lake was not named for him or anyone in his family. William Anderson purchased the property in 1947 from Amanda Anderson, who, though not a relative, shared his last name. Anderson Lake was named for one of her ancestors.",http://parks.state.wa.us//240/Anderson-Lake,Park Website,http://parks.state.wa.us//DocumentCenter/Home/View/1838,Park Map,,,"<Point><coordinates>-122.801709,48.012601,0.0</coordinates></Point>"
Battle_Ground_Lake,Battle Ground Lake,campground,Southwest Region,https://sites.google.com/site/virtualrangerproject/home/files/BattlegroundLake.jpg,"Battle Ground Lake State Park is a camping park with 280 acres of beautiful, forested land in the foothills of the Cascade Mountains. The lake itself is of volcanic origin and is considered to be a smaller version of Crater Lake in Oregon.",This area was named for a battle that settlers at Fort Vancouver expected to happen in 1855 between U.S. Army soldiers and some Klickitat Indians. The battle never occurred.,http://parks.state.wa.us/472/Battle-Ground-Lake,Park Website,http://parks.state.wa.us//DocumentCenter/Home/View/1839,Park Map,,,"<Point><coordinates>-122.495855,45.799395,0.0</coordinates></Point>"
Bay_View,Bay View,campground,North West Region,https://sites.google.com/site/virtualrangerproject/home/files/Bayview.jpg,"Bay View State Park is a 25-acre camping park with 1,285 feet of saltwater shoreline on Padilla Bay. Over 11,000 acres of Padilla Bay are designated as National Estuarine Sanctuary. Breazeale Padilla Bay Interpretive Center is located a half mile north of the park.","Bay View State Park was the home of Pat-Teh-Us, a Noo-Wha-Ah Indian chief and signer of the Point Elliot Treaty. The town was named by William J. Mckenna, who plotted the original townsite in 1884. The original portion of the park was donated to the state in 1925 by the Skagit County Agricultural Association.",http://parks.state.wa.us/473/Bay-View,Park Website,,Park Map,,,"<Point><coordinates>-122.479842,48.487616,0.0</coordinates></Point>"
Beacon_Rock,Beacon Rock,campground,Columbia Gorge Region,https://sites.google.com/site/virtualrangerproject/home/files/BeaconRock.jpg,"Beacon Rock State Park is a 5,100-acre year-round camping park with historic significance dating back hundreds of years. The park includes 9,500 feet of freshwater shoreline on the Columbia River.","""Beacon Rock"" was originally named by Lewis and Clark on their expedition to the Pacific Ocean on October 31, 1805. It was near Beacon Rock that they first measured tidal influences from the ocean on the Columbia River.",http://parks.state.wa.us/474/Beacon-Rock,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1840,Park Map,,,"<Point><coordinates>-122.02411,45.627671,0.0</coordinates></Point>"
Belfair,Belfair,campground,South Puget Sound Region,https://sites.google.com/site/virtualrangerproject/home/files/Belfair.jpg,"Belfair State Park is a 65-acre, year-round camping park on 3,720 feet of saltwater shoreline at the southern end of Hood Canal in western Washington. It is noted for its saltwater tide flats, wetlands with wind-blown beach grasses and pleasant areas for beach walking and saltwater swimming.",Long ago the site was a central meeting place for generations of Indians. The Skokomish tribe used the area as a campsite and for gathering shellfish. The area was later used as a log dump before officially becoming a state park in 1952.,http://parks.state.wa.us/475/Belfair,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1841,Park Map,,,"<Point><coordinates>-122.877723,47.429339,0.0</coordinates></Point>"
Birch_Bay,Birch Bay,campground,North West Region,https://sites.google.com/site/virtualrangerproject/home/files/BirchBay.jpg,"Birch Bay State Park is a 194-acre camping park with 8,255 feet of saltwater shoreline on Birch Bay and 14,923 feet of freshwater shoreline on Terrell Creek. The park is rich in shellfish resources and offers panoramic views of the Cascade Mountains and Canadian Gulf Islands.","Birch Bay was named by botanist Archibald Menzies for its abundance of black birch trees. Menzies was on the 1792 Vancouver expedition. Archeological evidence indicates that the bay was inhabited by Semiahmoo, Lummi and Nooksack tribes since prehistoric times.",http://parks.state.wa.us/170/Birch-Bay,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1842,Park Map,,,"<Point><coordinates>-122.764632,48.903176,0.0</coordinates></Point>"
Blake_Island,Blake Island,campground,Seattle-Tacoma Region,https://sites.google.com/site/virtualrangerproject/home/files/BlakeIsland.jpg,"Blake Island State Park is a 475-acre marine camping park with five miles of saltwater beach shoreline providing magnificent views of the Olympic Mountains and the Seattle skyline. The park is only reachable by tour boat or private boat. Indian-style salmon dinners and demonstrations of Northwest Indian dancing are offered at Tillicum Village, a concession on the island.","Blake Island was an ancestral camping ground of the Suquamish Indian tribe, and legend has it Chief Seattle was born there. It is believed the island was named by naval explorer Captain Charles Wilkes in honor of George Smith Blake, who commanded U.S. Coast Survey vessels from 1837 to 1848.",http://parks.state.wa.us/476/Blake-Island,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1843,Park Map,,,"<Point><coordinates>-122.495401,47.537668,0.0</coordinates></Point>"
Blind_Island,Blind Island,campground,San Juan Islands Region,https://sites.google.com/site/virtualrangerproject/home/files/BlindIsland.jpg,"Blind Island is a small, three-acre marine camping park located near the entrance of Blind Bay, Shaw Island. This natural area includes 1,280 feet of saltwater and rocky shoreline, with year-round moorage available. This park is part of the Cascadia Marine Trail. All of the onshore campsites are for the exclusive use of boaters arriving by human- or wind-powered watercraft.","In the early part of the century, a ""squatter"" set up housekeeping to the point of building a small house and storage sheds. His lifestyle was mostly that of a hermit, living off his work as a fisherman and tilling a small garden spot, evidence of which stil remains today.",http://parks.state.wa.us/477/Blind-Island,Park Website,,Park Map,,,"<Point><coordinates>-122.936943,48.585031,0.0</coordinates></Point>"
Bogachiel,Bogachiel,campground,Olympic Peninsula Region,https://sites.google.com/site/virtualrangerproject/home/files/Bogachief.jpg,Bogachiel State Park is a thickly forested 123-acre camping park on the banks of the Bogachiel River. It is remotely located on the northwestern tip of Washington state.,"The park was established in 1931. Due to a lack of funds, State Parks entered into an agreement with the Bogachiel Commercial Club and the Forks Chamber of Commerce to jointly operate and manage the area as a public park. State Parks began staffing the park in 1961.",http://parks.state.wa.us/478/Bogachiel,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1844,Park Map,,,"<Point><coordinates>-124.361159,47.894788,0.0</coordinates></Point>"
